Pais,Code,Ano,Eolica,Solar,Outras Fontes,Hidroeletrica,Continente,Sub-região
Argentina,ARG,2000,0.034758,3.6e-05,0.67501431,34.0340101,Americas,America do Sul
Argentina,ARG,2001,0.049361,4.3e-05,0.60932585,41.90326263,Americas,America do Sul
Argentina,ARG,2002,0.073405,4.7e-05,0.850248638,41.46705051,Americas,America do Sul
Argentina,ARG,2003,0.077954,6.5e-05,1.014079858,39.08008081,Americas,America do Sul
Argentina,ARG,2004,0.072446,7e-05,0.90029509,35.40287879,Americas,America do Sul
Argentina,ARG,2005,0.071719665,8.1e-05,1.074072901,39.35009091,Americas,America do Sul
Argentina,ARG,2006,0.06964,9e-05,1.567410315,43.624,Americas,America do Sul
Argentina,ARG,2007,0.061593,0.0001089,1.575708696,37.741,Americas,America do Sul
Argentina,ARG,2008,0.041951078,0.0001437,1.693536384,37.199,Americas,America do Sul
Argentina,ARG,2009,0.036831529,7.6084e-05,1.728756162,40.783,Americas,America do Sul
Argentina,ARG,2010,0.025351606,8.589e-05,2.01325481,40.543,Americas,America do Sul
Argentina,ARG,2011,0.02659055,0.001614,2.190205828,39.641,Americas,America do Sul
Argentina,ARG,2012,0.369861999,0.008172967,2.45382161,36.876,Americas,America do Sul
Argentina,ARG,2013,0.453354876,0.015074079,2.45735005,40.7,Americas,America do Sul
Argentina,ARG,2014,0.619491,0.015944,2.302025252,40.864,Americas,America do Sul
Argentina,ARG,2015,0.593334963,0.014683,2.378258598,41.7709,Americas,America do Sul
Argentina,ARG,2016,0.547359,0.014273,1.963408643,38.25439327,Americas,America do Sul
Argentina,ARG,2017,0.611567,0.016417,2.383654508,41.54297858,Americas,America do Sul
Argentina,ARG,2018,1.412743,0.10813,0.473010421,41.64786518,Americas,America do Sul
Argentina,ARG,2019,4.995966424,0.799697913,0.622944562,37.06678706,Americas,America do Sul
Argentina,ARG,2020,9.470297617,1.344340935,0.413941191,30.54359219,Americas,America do Sul
Brazil,BRA,2000,0.001,0.0,7.855363,304.403,Americas,America do Sul
Brazil,BRA,2001,0.0349,0.0,8.990407,267.876,Americas,America do Sul
Brazil,BRA,2002,0.061,0.0,10.22614696,286.092,Americas,America do Sul
Brazil,BRA,2003,0.061,0.0,11.894463,305.616,Americas,America do Sul
Brazil,BRA,2004,0.061,0.0,12.4750557,320.7969068,Americas,America do Sul
Brazil,BRA,2005,0.0929,0.0,13.59093928,337.4566739,Americas,America do Sul
Brazil,BRA,2006,0.237,0.0,14.84565898,348.80546,Americas,America do Sul
Brazil,BRA,2007,0.662781836,0.0,18.06344408,374.0151216,Americas,America do Sul
Brazil,BRA,2008,1.183,0.0,19.7862573,369.5564,Americas,America do Sul
Brazil,BRA,2009,1.238,0.0,22.87587213,390.988065,Americas,America do Sul
Brazil,BRA,2010,2.176558,0.0,31.94237545,403.2898133,Americas,America do Sul
Brazil,BRA,2011,2.704769,0.0,32.62904072,428.3329199,Americas,America do Sul
Brazil,BRA,2012,5.05,0.00098,35.76567086,415.3421755,Americas,America do Sul
Brazil,BRA,2013,6.575862737,0.004793593,40.97184609,390.992014,Americas,America do Sul
Brazil,BRA,2014,12.21025167,0.016081802,47.07918279,373.4390605,Americas,America do Sul
Brazil,BRA,2015,21.62570216,0.058917412,49.88032083,359.7428082,Americas,America do Sul
Brazil,BRA,2016,33.488872,0.085260592,51.33469956,380.9109424,Americas,America do Sul
Brazil,BRA,2017,42.37325825,0.831813401,52.91210534,370.9064564,Americas,America do Sul
Brazil,BRA,2018,48.47514121,3.461434834,54.38223437,388.9710759,Americas,America do Sul
Brazil,BRA,2019,55.98562168,6.654579083,54.92087661,397.8770566,Americas,America do Sul
Brazil,BRA,2020,57.01361507,7.958688663,55.36807301,396.7985,Americas,America do Sul
Chile,CHL,2000,0.0,0.0,1.375,19.081,Americas,America do Sul
Chile,CHL,2001,0.007,0.0,1.683,21.68,Americas,America do Sul
Chile,CHL,2002,0.007,0.0,1.781,23.187,Americas,America do Sul
Chile,CHL,2003,0.007,0.0,1.695,22.603,Americas,America do Sul
Chile,CHL,2004,0.005,0.0,2.031,20.96933834,Americas,America do Sul
Chile,CHL,2005,0.007,0.0,1.79,25.5755,Americas,America do Sul
Chile,CHL,2006,0.007,0.0,1.431,28.21505008,Americas,America do Sul
Chile,CHL,2007,0.0112,0.0,2.696,22.33485911,Americas,America do Sul
Chile,CHL,2008,0.03812314,0.0,3.588221316,24.26614619,Americas,America do Sul
Chile,CHL,2009,0.07901422,0.0,3.391681816,25.17931053,Americas,America do Sul
Chile,CHL,2010,0.32532599,0.0,3.412477248,21.75947414,Americas,America do Sul
Chile,CHL,2011,0.33759564,0.0,4.314426102,20.51000509,Americas,America do Sul
Chile,CHL,2012,0.40838745,0.00034039,5.983173515,20.16202386,Americas,America do Sul
Chile,CHL,2013,0.545075566,0.00675656,6.896006202,19.90721056,Americas,America do Sul
Chile,CHL,2014,1.44312018,0.458712984,4.989873005,23.0450776,Americas,America do Sul
Chile,CHL,2015,2.11464801,1.360100279,5.566129616,23.62150692,Americas,America do Sul
Chile,CHL,2016,2.451839459,2.5502637,6.722216022,19.69072697,Americas,America do Sul
Chile,CHL,2017,3.625559357,3.895948315,7.449310113,21.32573088,Americas,America do Sul
Chile,CHL,2018,3.587894717,5.118720829,9.157251969,23.36676918,Americas,America do Sul
Chile,CHL,2019,4.895221294,6.300226399,9.546549543,21.44032717,Americas,America do Sul
Chile,CHL,2020,5.625540663,7.614843515,10.33838395,20.65732844,Americas,America do Sul
Colombia,COL,2000,0.0,0.001835014,0.496,30.815718,Americas,America do Sul
Colombia,COL,2001,0.0,0.00266875,0.496,31.632658,Americas,America do Sul
Colombia,COL,2002,0.0,0.00465125,0.491,33.968038,Americas,America do Sul
Colombia,COL,2003,0.0,0.006405,0.495,36.17636,Americas,America do Sul
Colombia,COL,2004,0.05199,0.007951726,0.467,38.330058,Americas,America do Sul
Colombia,COL,2005,0.04948,0.00953125,0.503,39.220888,Americas,America do Sul
Colombia,COL,2006,0.062981393,0.0,0.519726086,42.55789177,Americas,America do Sul
Colombia,COL,2007,0.049890975,0.0,0.507136401,44.24198163,Americas,America do Sul
Colombia,COL,2008,0.053918167,0.0,0.509349325,46.16088281,Americas,America do Sul
Colombia,COL,2009,0.057707814,0.0,1.003287304,40.83736603,Americas,America do Sul
Colombia,COL,2010,0.03856992,0.0,1.109982319,40.55746263,Americas,America do Sul
Colombia,COL,2011,0.041271945,0.0,1.378387732,48.42747813,Americas,America do Sul
Colombia,COL,2012,0.054854711,0.0,1.476058577,47.58170976,Americas,America do Sul
Colombia,COL,2013,0.057624803,0.0,1.346433721,44.36279007,Americas,America do Sul
Colombia,COL,2014,0.070230298,0.0,1.728923016,44.7419634,Americas,America do Sul
Colombia,COL,2015,0.068377448,0.0,1.82290013,44.68190237,Americas,America do Sul
Colombia,COL,2016,0.050887341,0.0,1.993804335,46.78792653,Americas,America do Sul
Colombia,COL,2017,0.003071419,0.0,1.991259284,57.3419,Americas,America do Sul
Colombia,COL,2018,0.055437176,0.011999821,2.119029289,56.64701407,Americas,America do Sul
Colombia,COL,2019,0.063324063,0.131226024,2.439808308,54.14455518,Americas,America do Sul
Colombia,COL,2020,0.029023529,0.179402549,2.434662091,43.99338707,Americas,America do Sul
Ecuador,ECU,2000,0.0,0.0,0.0,7.611231426,Americas,America do Sul
Ecuador,ECU,2001,0.0,0.0,0.0,7.070652629,Americas,America do Sul
Ecuador,ECU,2002,0.0,0.0,0.0,7.52425603,Americas,America do Sul
Ecuador,ECU,2003,0.0,0.0,0.0,7.18041691,Americas,America do Sul
Ecuador,ECU,2004,0.0,0.0,0.00324057,7.411699139,Americas,America do Sul
Ecuador,ECU,2005,0.0,1.24e-05,0.102856283,6.882639373,Americas,America do Sul
Ecuador,ECU,2006,0.0,1.4875e-05,0.145555729,7.129493192,Americas,America do Sul
Ecuador,ECU,2007,0.000962135,1.8162e-05,0.218752751,9.03765528,Americas,America do Sul
Ecuador,ECU,2008,0.002682461,2.6687e-05,0.208324462,11.29333301,Americas,America do Sul
Ecuador,ECU,2009,0.003204417,7.88e-06,0.216519797,9.225407229,Americas,America do Sul
Ecuador,ECU,2010,0.00343485,0.0,0.235561875,8.636400921,Americas,America do Sul
Ecuador,ECU,2011,0.00334467,5.812e-05,0.27820037,11.13308825,Americas,America do Sul
Ecuador,ECU,2012,0.002398368,0.00032566,0.296353242,12.23772341,Americas,America do Sul
Ecuador,ECU,2013,0.056702975,0.003663607,0.29578793,11.03882457,Americas,America do Sul
Ecuador,ECU,2014,0.079742467,0.016482696,0.399471183,11.45789563,Americas,America do Sul
Ecuador,ECU,2015,0.098806317,0.036057927,0.407751048,13.09627001,Americas,America do Sul
Ecuador,ECU,2016,0.08395875,0.038754818,0.489796491,15.83384201,Americas,America do Sul
Ecuador,ECU,2017,0.0734,0.03748,0.43085,20.08861,Americas,America do Sul
Ecuador,ECU,2018,0.080257771,0.038079324,0.427967651,20.67800187,Americas,America do Sul
Ecuador,ECU,2019,0.085526937,0.16645228,0.454723448,24.66426354,Americas,America do Sul
Ecuador,ECU,2020,0.085526937,0.166446255,0.484793657,24.76799493,Americas,America do Sul
Peru,PER,2000,0.0008,0.0,0.158,16.1761,Americas,America do Sul
Peru,PER,2001,0.0012,0.0,0.163,17.6148,Americas,America do Sul
Peru,PER,2002,0.0012,0.0,0.186,18.0401,Americas,America do Sul
Peru,PER,2003,0.0012,0.0,0.196,18.5337,Americas,America do Sul
Peru,PER,2004,0.0012,0.0,0.153,17.5253,Americas,America do Sul
Peru,PER,2005,0.0012,0.0,0.348,17.977,Americas,America do Sul
Peru,PER,2006,0.0012,0.0,0.348,19.5943,Americas,America do Sul
Peru,PER,2007,0.0012,0.0,0.417,19.5488,Americas,America do Sul
Peru,PER,2008,0.0012,0.0,0.46,19.0596,Americas,America do Sul
Peru,PER,2009,0.0012,0.0,0.46,19.9038,Americas,America do Sul
Peru,PER,2010,0.0012,0.0,0.673,20.0521,Americas,America do Sul
Peru,PER,2011,0.0012,0.0,0.675,21.5573,Americas,America do Sul
Peru,PER,2012,0.0012,0.0597,0.668,22.0319,Americas,America do Sul
Peru,PER,2013,0.0012,0.1969,0.96,22.3196,Americas,America do Sul
Peru,PER,2014,0.2575,0.1993,1.291,22.2107,Americas,America do Sul
Peru,PER,2015,0.594374131,0.230255343,0.907,23.68706283,Americas,America do Sul
Peru,PER,2016,1.054114626,0.241818781,0.556,23.826156,Americas,America do Sul
Peru,PER,2017,1.073432268,0.287200343,0.471434,29.0745135,Americas,America do Sul
Peru,PER,2018,1.502438168,0.74540054,0.418896,30.737,Americas,America do Sul
Peru,PER,2019,1.655,0.763,0.52998,31.462,Americas,America do Sul
Peru,PER,2020,1.804,0.778,0.694229595,30.507,Americas,America do Sul
Venezuela,VEN,2000,0.0,0.0,0.0,62.886,Americas,America do Sul
Venezuela,VEN,2001,0.0,0.0,0.0,60.441,Americas,America do Sul
Venezuela,VEN,2002,0.0,0.0,0.0,59.534,Americas,America do Sul
Venezuela,VEN,2003,0.0,0.0,0.0,60.532,Americas,America do Sul
Venezuela,VEN,2004,0.0,0.0,0.0,70.075,Americas,America do Sul
Venezuela,VEN,2005,0.0,0.0,0.0,77.08849,Americas,America do Sul
Venezuela,VEN,2006,0.0,0.0,0.0,81.41334,Americas,America do Sul
Venezuela,VEN,2007,0.0,0.0,0.0,83.03442,Americas,America do Sul
Venezuela,VEN,2008,0.0,0.0,0.0,86.7129,Americas,America do Sul
Venezuela,VEN,2009,0.0,0.0,0.0,85.83926,Americas,America do Sul
Venezuela,VEN,2010,0.0,0.00246,0.0,76.65978,Americas,America do Sul
Venezuela,VEN,2011,0.0,0.00298,0.0,83.15471,Americas,America do Sul
Venezuela,VEN,2012,0.0,0.00522,0.0,81.73554,Americas,America do Sul
Venezuela,VEN,2013,0.0,0.005347317,0.0,83.405,Americas,America do Sul
Venezuela,VEN,2014,0.0,0.006747805,0.0,78.74673,Americas,America do Sul
Venezuela,VEN,2015,0.00126,0.008784878,0.0,73.39693,Americas,America do Sul
Venezuela,VEN,2016,0.0,0.010035508,0.0,61.69903406,Americas,America do Sul
Venezuela,VEN,2017,0.0,0.010008089,0.0,59.29624117,Americas,America do Sul
Venezuela,VEN,2018,0.0,0.009452251,0.0,56.98701163,Americas,America do Sul
Venezuela,VEN,2019,0.0,0.012571494,0.0,48.643638,Americas,America do Sul
Venezuela,VEN,2020,0.0,0.012571494,0.0,31.64574266,Americas,America do Sul
